code,en,shn
pcm,Nigerian Pidgin,ၼၢႆႇၵျီးရီးယႅၼ်း ၽိတ်ႉၵျိၼ်ႇ
pdc,Pennsylvania German,ၵျႃႇမၼ်ႇ ၽႅၼ်ႇသႄႇဝေးၼီးယႃး
pdt,Plautdietsch,ၽလွတ်ႉတိတ်ႉသ်ျ
peo,Old Persian,ပႃႇသျၼ်းၵဝ်ႇ
pfl,Pfälzisch,ၵျႃႇမၼ်ႇ ပႃႇလတၢႆး
phn,Phoenician,ၽူဝ်ႇၼီးသီႇယႅၼ်ႇ
pi,Pali,ပႃႇလိ
pis,Pijin,ၽိၵျိၼ်ႇ
pl,Polish,ၽေႃးလိတ်ႉသ်ျ
pms,Piemontese,ၽိတ်ႉမွၼ်းထိတ်ႉသ်
pnt,Pontic,ၽွၼ်းထိၵ်ႉ
pon,Pohnpeian,ၽွၼ်းၽေႇ
pqm,Eastern Malayo-Polynesian,မလိသိတ်ႉ-ၽၢတ်ႉမၵူဝ်တီႇ
prg,Prussian,ၽရတ်ႉသီႇယႅၼ်ႇ
prg,Prussian,ပရတ်ႉသီႇယႅၼ်ႇ
pro,Old Provençal,ၽရူဝ်ႇဝႅၼ်သႄႇလ်ၵဝ်ႇ
ps,Pashto,ၽတ်ႉသ်ျတူဝ်ႇ
ps,Pashto,ၽုတ်ႉသ်ျတူဝ်ႇ
pt,Portuguese,ပေႃးတူႉၵိတ်ႉသ်
pt_BR,Brazilian Portuguese,ပေႃးတူႉၵိတ်ႉသ် ပရႃႇၸီးလီးယႅၼ်း
pt_PT,European Portuguese,ပေႃးတူႉၵိတ်ႉသ် ယူႇရူဝ်ႇပီႇယႅၼ်ႇ
qu,Quechua,ၶႅတ်ႉၶျူႇဝႃႇ
quc,K'iche',ၶေးသ်ျ
qug,Chimborazo Highland Quichua,ၶျိမ်ႇပူဝ်ႇရႃႇၸူဝ်ႇ ႁၢႆးလႅၼ်း ၶႅတ်ႉၶျူႇဝႃႇ
raj,Rajasthani,ရၵျသထႃးၼီႇ
rap,Rapa Nui,ရပ်ႉၽၼူးရီႇ
rar,Rarotongan,ရႃႇရူဝ်ႇထွင်းၵၼ်ႇ
rgn,Romagnol,ရွမ်မၺေႃး
rhg,Rohingya,ရူဝ်ႇရိၼ်ႇၵျႃႇ
rif,Riffian,ရပ်ႉၾီႇယႅၼ်ႇ
rm,Romansh,ရူဝ်မႅၼ်ႇသ်ျ
rn,Rundi,ရုၼ်းတီႇ
ro,Romanian,ရူဝ်ႇမေးၼီးယႅၼ်း
ro_MD,Moldavian,မူဝ်ႇတေးဝီးယႅၼ်း
rof,Rombo,ရွမ်ႇပူဝ်ႇ
rom,Romany,ရူဝ်းမၼီႇ
rtm,Rotuman,ရူဝ်တူမၼ်ႇ
ru,Russian,ရတ်ႉသျၼ်ႇ
rue,Rusyn,ရတ်ႉသိၼ်ႇ
rug,Roviana,ရူဝ်ႇဝီးယႃးၼႃး
rup,Aromanian,ဢႃႇရူဝ်ႇမေးၼီးယႅၼ်း
rw,Kinyarwanda,ၶိၼ်ၺႃဝၼ်းတႃႇ
rwk,Rwa,ရဝႃ
sa,Sanskrit,သၼ်းသၶရိတ်ႉ
sad,Sandawe,သၼ်တႃႉဝႄႇ
sah,Yakut,သႃႉၶႃႇ
sam,Samaritan Aramaic,သမႃးရိတၼ်ႇ ဢႃရႃမဵၵ်ႉ
saq,Samburu,သႅမ်ပူးရူႇ
sas,Sasak,သႃသၵ်ႇ
sat,Santali,သၼ်တႃႉလီႇ
saz,Saurashtra,သေႃရတ်ႉသ်ျထရႃႇ
sba,Ngambay,ငမ်ႇပေး
sbp,Sangu,သၼ်ၵူး
sc,Sardinian,သႃတီးၼီးယႅၼ်း
scn,Sicilian,သီႇသီးလီးယႅၼ်း
sco,Scots,သၵွတ်ႉ
sd,Sindhi,သိၼ်းတီႇ
sdc,Sassarese Sardinian,သႃႉသႃရိ သႃတီးၼီးယႅၼ်း
sdh,Southern Kurdish,ၶိူဝ်းတိတ်ႉသ်ျ ပွတ်းၸၢၼ်း
se,Northern Sami,သႃးမီး ပွတ်းႁွင်ႇ
see,Seneca,သႄႇၼီၵႃ
seh,Sena,သႄၼႃႇ
sei,Seri,သႄးရီႇ
sel,Selkup,သႄးလ်ၶပ်ႉ
ses,Koyraboro Senni,ၶူဝ်ရႃပူဝ်ႇရူဝ်ႇ သႅၼ်ၼီႇ
sg,Sango,သၼ်ၵူဝ်ႇ
sga,Old Irish,ဢၢႆးရိတ်ႉသျ်ၵဝ်ႇ
sgs,Samogitian,သမူဝ်ႇၵျိတ်ႉသျၼ်ႇ
sh,Serbo-Croatian,သႃပူဝ်-ၶရူဝ်ႇဢေးသျၼ်ႇ
shi,Tachelhit,တႃႉၶျႄႇလ်ႁိတ်ႉ
shn,Shan,တႆး
shu,Chadian Arabic,ၶျေးတီႇယႅၼ်ႇ ဢႃးရပိၵ်ႉ
si,Sinhala,သိၼ်ႁႃးလႃႇ
sid,Sidamo,သီတႃးမူဝ်ႇ
sk,Slovak,သလူဝ်ႇဝၵ်ႉ
sl,Slovenian,သလူဝ်ႇဝီးၼီးယႃး
slh,Stellingwerfs,လၢတ်ႉသျူထိတ်ႉ ပွတ်းၸၢၼ်း
sli,Lower Silesian,သၢႆလီးသီႇယႅၼ်ႇ ပွတ်းတႂ်ႈ
sly,Selayar,သႄႇလယႃႇ
sm,Samoan,သမူဝ်းဢၼ်ႇ
sma,Southern Sami,သႃးမီး ပွတ်းၸၢၼ်း
smj,Lule Sami,လူး သႃးမီး
smn,Inari Sami,ဢိၼ်းၼရီႇ သႃးမီး
sms,Skolt Sami,သၵွတ်ႉ သႃးမီး
sn,Shona,သျူဝ်းၼႃႇ
snk,Soninke,သူဝ်းၼိၼ်ၶီႇ
so,Somali,သူဝ်ႇမႃးလီႇ
sog,Sogdian,သူၵ်ႉတီႇယႅၼ်ႇ
sq,Albanian,ဢႃႇပႃးၼီးယႅၼ်း
sr,Serbian,သႃးပီးယႅၼ်း
sr_ME,Montenegrin,မွၼ်ႇတေႇၼႄႇၵရိၼ်ႇ
srn,Sranan Tongo,သရၼၼ် ထူင်းၵူဝ်ႇ
srr,Serer,သႃဝႃႇ
ss,Swati,သဝႃတီ
ssy,Saho,သႁူဝ်ႇ
st,Southern Sotho,သူဝ်ထူဝ်ႇ ပွတ်းၸၢၼ်း
stq,Saterland Frisian,သႅတ်ႉထႃႇလႅၼ်ႇ ၾရီႇသီႇယႅၼ်ႇ
str,Straits Salish,သထရဵတ်ႉ Straits သေးလိတ်ႉသျ်
su,Sundanese,သုၼ်းတၼိတ်ႉသ်
suk,Sukuma,သုၶူးမႃး
sus,Susu,သူးသူႇ
sux,Sumerian,သူမႄးရီးယႅၼ်း
sv,Swedish,သုၺ်းတိတ်ႉသျ်
sw,Swahili,သုၺ်ႇႁီးလီႇ
sw_CD,Congo Swahili,ၶွၼ်းၵူဝ်ႇ သုၺ်ႇႁီးလီႇ
swb,Comorian,ၶူဝ်မူဝ်ရီယႅၼ်
syc,Classical Syriac,သီးရီးဢႅၵ်ႉ ပၢၼ်ၵဝ်ႇ
syr,Syriac,သီးရီးဢႅၵ်ႉ
szl,Silesian,သီႇလီးသီႇယႅၼ်ႇ
ta,Tamil,တမီးလ်
tce,Southern Tutchone,ထၢတ်ႈၶျူဝ်ၼႄ ပွတ်းၸၢၼ်း
tcy,Tulu,ထူးလူႇ
te,Telugu,ထႄးလူႇၵူႇ
tem,Timne,ထိမ်ႇၼႄး
teo,Teso,ထႄးသူဝ်ႇ
ter,Tereno,ထႃရႅၼ်ၼူဝ်
tet,Tetum,ထႅတ်ႉထမ်ႇ
tg,Tajik,တႃၵျိၵ်ႉ
tgx,Tagin,ထႅၵ်ႉၵိတ်ႉသျ်
th,Thai,ထႆး
tht,Tahltan,ထႄးလ်တၼ်
ti,Tigrinya,ထီႇၵရိၼ်းၺႃႇ
tig,Tigre,ထီးၵရီႇ
tiv,Tiv,ထိပ်ႉ
tk,Turkmen,ထၢၵ်ႉမႅၼ်ႇ
tkl,Tokelauan,ထူဝ်ႇၶႄႇလၢဝ်း
tkr,Tokharian,သၢၵ်ႉၶိူဝ်း
tl,Tagalog,ထၵႃးလွၵ်ႉ
tlh,Klingon,ၶလိင်းဢွၼ်ႇ
tli,Tlingit,ထိင်းၶိတ်ႇ
tly,Talysh,ထလိတ်ႉသျ်
tmh,Tamashek,ထမႃးသျႅၵ်ႇ
tn,Tswana,သဝႃးၼႃႇ
to,Tongan,ထွင်းၵၼ်ႇ
tog,Tonga,ၺႃးသႃႇ
tok,ၺေးဝ်ႇၶီႇ ၽူဝ်းၼႃႇ
tpi,Tok Pisin,ထွၵ်ႉ ၽိသိၼ်ႇ
tr,Turkish,တိူဝ်းၵိတ်ႉသ်ျ
tru,Turoyo,ထူရူဝ်ယူဝ်ႇ
trv,Taroko,တႃရူဝ်ၵူဝ်ႇ
trw,Taroko,ထေႃးဝႃႇလီႇ
ts,Tsonga,သွင်းၵႃႇ
tsd,Tsakonian,သၶူဝ်းၼီးယႅၼ်း
tsi,Tsimshian,သိမ်သီးယႅၼ်း
tt,Tatar,ထထႃး
ttm,ၺိတ်ႈၶျူဝ်ၼႄ ပွတ်းႁွင်ႇ
ttt,ၺ်တ်ႉ မူႇသလိမ်ႇ
tum,Tumbuka,ထမ်ပူၵႃႇ
tvl,Tuvalu,ထူႇဝႃးလူႇ
tw,Twi,ထုၺ်း
twq,Tasawaq,ထႅတ်ႉသဝၢၵ်ႉ
ty,Tahitian,ထႃႁီးသျၼ်ႇ
tyv,Tuvinian,ထူႇဝီးၼီးယႅၼ်း
tzm,Central Atlas Tamazight,ဢတ်ႉလႅတ်ႉ ထမၸိတ်ႉ ပွတ်းၵၢင်
udm,Udmurt,ဢုတ်ႇမုတ်ႉ
ug,Uyghur,ဝီႇၵႃႇ
ug_variant,Uyghur,ဝီးၵူႇသ်
uga,Ugaritic,ဢူးၵရိတ်ႈ
uk,Ukrainian,ယူႇၶရဵၼ်းၼီးယႅၼ်း
umb,Umbundu,ဢုမ်ပုၼ်းတူႇ
und,Undetermined,ဢမ်ႇႁူႉၸၵ်း ၽႃႇသႃႇၵႂၢမ်း
ur,Urdu,ဢူးတူႇ
uz,Uzbek,ဢူးၸပၵ်ႉ
vai,Vai,ဝၢႆး
ve,Venda,ဝႅၼ်းတႃႇ
vec,Venetian,ဝႅၼ်ႇၼီးသျၼ်ႇ
vep,Veps,ဝႅပ်ႉ
vi,Vietnamese,ဝႅတ်ႉၼမ်း
vls,West Flemish,ၾလႄးမိတ်ႉသျ်
vmf,Mainfränkisch,မဵင်း-ၾရၼ်ၶူဝ်းၼီးယႅၼ်း
vo,Volapük,ဝေႃႇလၽုၵ်း
vot,Votic,ဝူဝ်းတိၵ်ႉ
vro,Võro,ဝူဝ်ရူဝ်ႇ
vun,Vunjo,ဝၼ်ၵျူဝ်
wa,Walloon,ဝေႃးလုၼ်း
wae,Walser,ဝေႃးသႃႇ
wal,Wolaytta,ဝူဝ်လေတႃႇ
war,Waray,ဝႃရေ
was,Washo,ဝသျူဝ်ႇ
wbp,Warlpiri,ဝေႃးပီႇရီႇ
wo,Wolof,ဝေႃးလွပ်ႇ
wuu,Wu Chinese,ၶႄႇဝူ
xal,Kalmyk,ၶႃမႅၵ်ႇ
xh,Xhosa,ႁူဝ်းသႃႇ
xmf,Mingrelian,မိၼ်ႇၵရီးလီးယႅၼ်း
xog,Soga,သူဝ်းၵႃႇ
yao,Yao,ယၢဝ်း
yap,Yapese,ယႃၽီးသ်
yav,Yangben,ယၢင်းပႅၼ်
ybb,Yemba,ယႅမ်ပႃႉ
yi,Yiddish,ယိတ်ႉတိတ်ႉသျ်
yo,Yoruba,ယေႃးရူႇပႃႇ
yrl,Nheengatu,ၼိၼ်းၵႃတူႇ
yue,Cantonese,ၶႅၼ်းထူၼ်းၼိတ်ႉသ်
yue_menu,Cantonese,ၶႄႇ၊ ၶႅၼ်းထူၼ်းၼိတ်ႉသ်
za,Zhuang,ၸႂၢင်ႈ
zap,Zapotec,ၸပူဝ်းထႅၵ်ႇ
zbl,Blissymbols,ပလီႇသႅမ်ပူဝ်
zea,Zeelandic,ၸီးလႅၼ်းတိၵ်ႉ
zen,Zenaga,ၸႅၼ်ၼႃၵႃ
zgh,Standard Moroccan Tamazight,လၵ်းၸဵင် မူဝ်ရူဝ်ၵၼ်ႇ ထမၸိတ်ႉ
zh,Chinese,ၶႄႇ
zh_long,Chinese,ၶႄႇ မၼ်းတရိၼ်း
zh_menu,Chinese,ၶႄႇ၊ မၼ်းတရိၼ်း
zh_Hans,Simplified Chinese,ၶႄႇ ပၢၼ်မႂ်ႇ
zh_Hans_long,Simplified Chinese,ၶႄႇ မၼ်းတရိၼ်း ပၢၼ်မႂ်ႇ
zh_Hant,Traditional Chinese,ၶႄႇ ပၢၼ်ၵဝ်ႇ
zh_Hant_long,Traditional Chinese,ၶႄႇ မၼ်းတရိၼ်း ပၢၼ်ၵဝ်ႇ
zu,Zulu,ၸူးလူႇ
zun,Zuni,ၸူးၼီး
zxx,No linguistic content,ဢမ်ႇမီး လမ်းၼႂ်း ၽႃႇသႃႇၵႂၢမ်း
zza,Zaza,ၸႃးၸႃ
